obsUnitId,collectionDate,NDVI,SPAD,plot_maxheight_cm,plot_maxwidth_cm
TTADDA_NARO_2023_F1P6,2023-06-12,0.26,52.95,,
TTADDA_NARO_2023_F1P6,2023-06-17,,,18.0,44.5
TTADDA_NARO_2023_F1P6,2023-06-19,0.39,,,
TTADDA_NARO_2023_F1P6,2023-06-20,,52.8,,
TTADDA_NARO_2023_F1P6,2023-06-24,,,30.25,58.75
TTADDA_NARO_2023_F1P6,2023-06-26,0.575,,,
TTADDA_NARO_2023_F1P6,2023-06-27,,53.25,,
TTADDA_NARO_2023_F1P6,2023-07-02,,,41.0,72.0
TTADDA_NARO_2023_F1P6,2023-07-04,0.81,45.675,,
TTADDA_NARO_2023_F1P6,2023-07-08,,,48.25,72.5
TTADDA_NARO_2023_F1P6,2023-07-09,0.815,,,
TTADDA_NARO_2023_F1P6,2023-07-11,,44.95,,
TTADDA_NARO_2023_F1P6,2023-07-16,,,48.25,72.5
TTADDA_NARO_2023_F1P6,2023-07-18,,39.35,,
TTADDA_NARO_2023_F1P6,2023-07-19,0.89,,,
TTADDA_NARO_2023_F1P6,2023-07-22,,,52.5,80.0
TTADDA_NARO_2023_F1P6,2023-07-24,0.87,36.75,,
TTADDA_NARO_2023_F1P6,2023-07-29,,,55.0,77.5
TTADDA_NARO_2023_F1P6,2023-08-01,0.82,27.775,,
TTADDA_NARO_2023_F1P6,2023-08-05,,,45.0,75.0
TTADDA_NARO_2023_F1P6,2023-08-06,0.67,,,
TTADDA_NARO_2023_F1P6,2023-08-09,,26.75,,
TTADDA_NARO_2023_F1P6,2023-08-12,0.565,,48.0,67.5
TTADDA_NARO_2023_F1P6,2023-08-15,,25.775,,
TTADDA_NARO_2023_F1P6,2023-08-19,0.355,,38.0,12.5
TTADDA_NARO_2023_F1P6,2023-08-22,,0.0,,
TTADDA_NARO_2023_F1P6,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P6,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P6,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P6,2023-09-11,,,,
TTADDA_NARO_2023_F1P7,2023-06-06,,,3.5,17.75
TTADDA_NARO_2023_F1P7,2023-06-07,0.19,,,
TTADDA_NARO_2023_F1P7,2023-06-11,,,8.25,30.75
TTADDA_NARO_2023_F1P7,2023-06-12,0.345,55.075,,
TTADDA_NARO_2023_F1P7,2023-06-17,,,23.25,45.75
TTADDA_NARO_2023_F1P7,2023-06-19,0.53,,,
TTADDA_NARO_2023_F1P7,2023-06-20,,53.05,,
TTADDA_NARO_2023_F1P7,2023-06-24,,,31.5,52.5
TTADDA_NARO_2023_F1P7,2023-06-26,0.58,,,
TTADDA_NARO_2023_F1P7,2023-06-27,,52.725,,
TTADDA_NARO_2023_F1P7,2023-07-02,,,38.5,63.75
TTADDA_NARO_2023_F1P7,2023-07-04,0.82,46.45,,
TTADDA_NARO_2023_F1P7,2023-07-08,,,43.75,62.5
TTADDA_NARO_2023_F1P7,2023-07-09,0.725,,,
TTADDA_NARO_2023_F1P7,2023-07-11,,44.675,,
TTADDA_NARO_2023_F1P7,2023-07-16,,,44.0,66.25
TTADDA_NARO_2023_F1P7,2023-07-18,,38.375,,
TTADDA_NARO_2023_F1P7,2023-07-19,0.86,,,
TTADDA_NARO_2023_F1P7,2023-07-22,,,42.5,62.5
TTADDA_NARO_2023_F1P7,2023-07-24,0.84,36.45,,
TTADDA_NARO_2023_F1P7,2023-07-29,,,50.0,57.5
TTADDA_NARO_2023_F1P7,2023-08-01,0.62,31.975,,
TTADDA_NARO_2023_F1P7,2023-08-05,,,42.5,55.0
TTADDA_NARO_2023_F1P7,2023-08-06,0.53,,,
TTADDA_NARO_2023_F1P7,2023-08-09,,22.65,,
TTADDA_NARO_2023_F1P7,2023-08-12,0.62,,49.0,55.0
TTADDA_NARO_2023_F1P7,2023-08-15,,28.55,,
TTADDA_NARO_2023_F1P7,2023-08-19,0.475,,47.5,52.5
TTADDA_NARO_2023_F1P7,2023-08-22,,24.575,,
TTADDA_NARO_2023_F1P7,2023-08-27,0.24,,20.0,5.0
TTADDA_NARO_2023_F1P7,2023-08-29,,12.95,,
TTADDA_NARO_2023_F1P7,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P7,2023-09-11,,,,
TTADDA_NARO_2023_F1P8,2023-06-06,,,2.5,13.5
TTADDA_NARO_2023_F1P8,2023-06-07,0.195,,,
TTADDA_NARO_2023_F1P8,2023-06-11,,,6.25,28.75
TTADDA_NARO_2023_F1P8,2023-06-12,0.265,56.675,,
TTADDA_NARO_2023_F1P8,2023-06-17,,,16.0,40.0
TTADDA_NARO_2023_F1P8,2023-06-19,0.435,,,
TTADDA_NARO_2023_F1P8,2023-06-20,,52.825,,
TTADDA_NARO_2023_F1P8,2023-06-24,,,28.0,47.25
TTADDA_NARO_2023_F1P8,2023-06-26,0.665,,,
TTADDA_NARO_2023_F1P8,2023-06-27,,55.0,,
TTADDA_NARO_2023_F1P8,2023-07-02,,,38.0,58.75
TTADDA_NARO_2023_F1P8,2023-07-04,0.775,45.525,,
TTADDA_NARO_2023_F1P8,2023-07-08,,,42.75,61.25
TTADDA_NARO_2023_F1P8,2023-07-09,0.755,,,
TTADDA_NARO_2023_F1P8,2023-07-11,,45.65,,
TTADDA_NARO_2023_F1P8,2023-07-16,,,40.25,66.25
TTADDA_NARO_2023_F1P8,2023-07-18,,38.75,,
